Date,Index,TA.OVH.RECYCLE.NC4.VOLPCT,RX.TB.RECYCLE.CHARGE.BPD,RX.TB.RECYCLE.CHARGE.PCT,RX.NORTH.TC.CHARGE.BPD,RX.NORTH.TC.CHARGE.CV.PCT,RX.NORTH.FLUSH.PSIG,RX.NORTH.OUT.F,RX.SOUTH.TA.RECYCLE.CHARGE.BPD,RX.SOUTH.TA.RECYCLE.CHARGE.PCT,RX.SOUTH.TC.CHARGE.BPD,RX.SOUTH.TC.CHARGE.CV.PCT,RX.SOUTH.FLUSH.PSIG,RX.SOUTH.OUT.F,RX.SOUTH.WATERRETURN.F,RX.SOUTH.WATERRETURN.PH,RX.OUT.DELTA.F,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F,TB.CHARGE.BPD,TB.CHARGE.PREHEAT.COND.LBHR,TB.CHARGE.F,TB.OVHD.F,TB.OVHD.PSIG,TB.OVHD.REVEIVER.PSIG,TB.OVHD.REVEIVER.F,TB.OVHD.REVEIVER.LVL.PCT,TB.BTM.PSIG,TB.BTM.LVL.PCT,TB.DP.PSIG,TB.BTM.F,TB.REBOIL.OUT.F,TC.TRAY7.F,TC.TRAY40.F,TC.CHARGE.F,TC.OVHD.PSIG,TC.OVHD.RECVR.F,TC.TRAY24.F,TC.DP.PSIG,TC.BTM.PSIG,TC.REBOIL.OUT.F,TC.REBOIL.COND.LBHR,Predictions
04-Aug-22 19:00:00,10,14.0,2099.826904,18.0,2613.137695,18.1007061,153.2287598,105.6060791,6509.229004,51.87546158,2669.507813,18.23292351,151.620224,108.6097794,87.3587265,6.512213707,-2.94715786,10733.16895,98.85902405,136.2327576,133.9693756,-6.900000095,99.99745941,6509.229004,110.3642807,170.4282227,186.9712982,0.330734253,98.52333069,90.74147797,316.8645325,199.3301392,11408.56543,2562.595703,153.1082153,167.9351807,183.303833,183.3820343,102.9421539,54.13487625,189.4184265,80.53498077,6.085968018,219.7634583,222.1261749,187.3063507,199.8812256,191.9540405,222.5979309,168.3509979,170.7102051,3.616288424,226.1527405,201.9948425,8229.145508,13.216242223988388
04-Aug-22 18:30:00,11,14.0,2086.410645,18.0,2396.942139,15.92695904,156.5055847,105.2828522,6478.947266,51.97423935,2373.376465,15.56670094,154.9056396,108.3376617,87.5872345,6.524155617,-2.915031195,10420.70117,98.25973511,135.8901978,133.5357666,-2.047527313,99.26630402,6478.947266,110.1743088,169.2326965,185.8286591,0.386424392,97.8937149,90.6579361,317.5333557,198.284668,11500.89746,2615.348145,152.8223724,169.4096985,182.9586029,182.660675,106.277977,68.36293793,188.6417389,80.97485352,5.646896362,219.8302307,222.1325531,187.1737976,199.6173859,191.8665619,222.4887695,168.6744843,170.9650726,3.627906799,226.167038,201.7395172,8234.679688,13.312322866742875
04-Aug-22 18:00:00,12,14.0,2080.844727,18.0,2385.622803,15.5103035,157.4176178,106.2533112,6499.814453,52.08198547,2311.758789,15.21647739,155.7811127,108.8038101,87.6989975,6.520432472,-2.62383914,9735.28125,97.38770294,134.916687,132.8079224,0.40691331,98.96977997,6499.814453,109.5672684,168.2980804,185.6503906,0.435069412,96.95739746,89.29163361,319.3613586,198.2266693,11486.06348,2527.502441,152.9523163,171.0940094,183.1481934,183.2122803,108.8940964,72.26969147,188.2183228,80.4253006,5.014791965,219.8302307,222.4372864,187.5203857,199.9473572,192.3894348,222.7448578,168.8016357,171.1976624,3.611245155,226.3444366,202.0513,8172.271484,12.53574033417567
04-Aug-22 17:30:00,13,14.0,2087.703857,18.0,2716.083008,19.14143753,158.2879944,106.7873688,6498.280273,52.23858261,2580.333252,17.22838974,156.9773407,108.536026,87.45295715,6.523897648,-1.838754654,9754.412109,95.87497711,133.7765961,131.7718506,0.088902853,97.63780975,6498.280273,108.713028,166.7849274,186.47258,0.520324707,95.36170959,89.70769501,321.1583557,198.8100739,11496.57031,2566.546875,153.0075073,174.8265533,183.1134796,184.6416473,106.4992294,63.43053436,187.6285706,80.54104614,4.447555542,221.022522,223.8382263,187.6027069,199.817337,192.6104279,222.1658325,169.1190033,171.7350311,3.590652466,225.7493439,202.0477448,8120.016602,11.955464413988608
04-Aug-22 17:00:00,14,14.0,2100.414307,18.0,2514.574951,16.9811554,158.7127075,105.7464676,6507.773438,51.20604324,2462.211426,16.47261429,156.7802429,108.7117615,87.60236359,6.525905609,-3.004958153,9812.430664,103.909874,139.2944336,137.3046875,-6.900000095,105.1132278,6507.773438,106.2222824,170.6179352,187.6251221,0.375175476,103.5247803,87.67484283,316.9133606,199.6673584,11489.29785,2573.665039,153.2162933,167.2327728,183.8687897,184.4352722,104.4962616,3.566296816,189.3547058,78.65746307,4.726409912,221.0511322,223.7526855,187.9362946,200.3253326,191.9125977,222.257019,169.8977203,171.8994904,3.742669344,225.9588318,202.1499786,8067.100586,13.728096925447801
04-Aug-22 16:30:00,15,14.0,2086.570801,18.0,2441.961914,16.32447433,159.2648773,105.7454453,6505.585938,50.55386353,2427.717773,15.77351761,157.5196533,108.7333755,87.88745117,6.519105911,-2.989303589,10302.7832,108.8533401,142.5595551,140.2946472,-6.900000095,110.375473,6505.585938,106.5943451,173.9995422,188.1225586,0.317955017,108.5065842,87.18783569,309.7763062,200.8748474,11635.05664,2568.836914,152.955368,165.9512787,182.5744629,182.2559357,105.6973801,29.01560402,187.5267029,78.63840485,4.969395161,218.8477631,221.7677002,188.2648468,200.3504486,192.1869965,223.7133331,170.1927338,172.0894165,3.617958069,227.3324432,202.3869934,8196.773438,14.905015748915645
04-Aug-22 16:00:00,16,14.0,2081.256836,18.0,2443.270264,16.30178833,152.2064209,106.4023361,6508.60498,51.19916534,2483.27417,15.54937363,150.8099213,109.4716492,88.08911896,6.51886034,-3.056471109,12105.52148,105.218895,140.2684479,137.9582672,-6.900000095,106.0549469,6508.60498,110.6468201,172.9911804,187.1559143,0.218196228,104.9726486,91.59431458,309.5952454,199.5119781,11529.25098,2627.233398,153.1926422,165.2989655,183.1409454,182.9372406,102.1761627,51.68024826,188.8580322,81.83433533,5.677604675,217.6745453,220.7072449,188.0885773,200.2213745,192.2818451,223.1595764,170.4043121,171.635788,3.655446291,226.8247681,202.1057281,8123.541992,14.359165202240007
04-Aug-22 15:30:00,17,14.0,2073.40625,18.0,2530.935791,17.04748535,155.9206696,105.2556381,6499.844238,51.85114288,2352.710205,10.7837944,153.9141388,108.6474152,87.69378662,6.52175951,-3.436028481,10770.67383,99.47319031,136.5971832,134.2158051,-6.900000095,101.0271759,6499.844238,110.6773453,169.850174,186.9044037,0.329585403,99.17316437,92.28999329,315.4510498,198.2861938,11780.01172,2679.041016,153.2279968,168.0514069,182.2651062,181.8367004,100.3349304,79.62036133,188.2019043,80.87660217,5.917739868,218.8954468,221.24086,188.539856,200.5615234,192.2396393,224.2411346,170.5569,173.5695343,3.5899086,227.8601379,202.5375519,8248.726563,13.070832029337282
04-Aug-22 15:00:00,18,14.0,2109.981689,18.0,2346.993896,14.76600361,151.5340881,106.3451157,6521.206543,51.74677658,2376.765137,13.83440018,150.0218658,109.2414932,88.19923401,6.529462814,-2.92029953,9476.660156,99.72992706,136.8255615,134.3699188,-6.900000095,100.8367004,6521.206543,110.5834961,169.8987274,186.612442,0.314147949,99.42951965,91.82904816,317.2968445,198.4588623,12195.13574,2816.331543,153.2814026,168.1882172,182.7320099,183.7146759,99.37896729,66.73101044,188.3602142,78.28451538,4.803848267,219.4200745,222.0820923,188.2619171,200.2579498,192.2976227,223.812439,170.4808502,172.0137329,3.712792635,227.5689545,202.2455902,8278.966797,13.846319767514814
04-Aug-22 14:30:00,19,14.0,2104.755371,18.0,2466.413574,16.1513443,156.1524048,106.5912857,6497.260742,51.75518036,2485.725586,15.5688982,154.295929,109.3569489,88.00901031,6.519117832,-2.786114454,10596.46582,100.2376556,137.1856689,134.8515778,-6.900000095,101.235199,6497.260742,109.871933,170.0063019,187.0193481,0.418663025,99.80010986,89.65301514,314.831543,199.1330414,12140.19238,2831.641113,153.0960083,168.1172638,182.4935913,184.2460785,99.98309326,56.05456161,188.5761261,80.43439484,6.04095459,219.401001,221.9941559,188.9575195,200.442627,192.6829224,224.3557892,171.0978394,173.6056671,3.652968168,227.9605865,202.5619659,8255.347656,13.748149297101293
