Index,Date,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F
38,6/26/22 13:00,8442.860352,99.28310394,133.441925,132.260025,9.518548012,99.27610016,6792.314453,97.51434326,152.5408478,164.1544647,0.441703796,98.82656097,80.63367462,296.8351135,176.3179169
39,6/19/22 13:00,7998.044922,98.66786957,132.608078,131.4412994,7.326632023,99.54935455,5995.259766,87.30769348,160.8686371,181.0602875,0.339431763,98.28384399,93.59464264,325.9127808,196.6828461
41,6/18/22 13:00,10765.23145,99.07356262,134.2953949,132.6391144,1.86631906,100.3599014,6341.057617,102.6403351,163.2866364,182.394165,0.407066345,98.66142273,83.35683441,319.0939331,198.9976501
42,6/18/22 6:00,9869.005859,99.66581726,134.3841553,132.9607086,4.252963543,99.68528748,6428.103516,95.40026093,162.5817413,182.6795959,0.301061124,99.32666779,84.44224548,320.9896851,199.9129791
43,6/17/22 13:00,8833.674805,99.89929199,133.883667,132.631424,9.423108101,100.2258377,6004.144531,90.78878021,161.8723602,183.5245819,0.360107422,99.5223999,87.24518585,319.4335938,200.0986786
44,6/17/22 6:00,10563.08984,100.3593445,135.4349823,133.7310791,6.847319603,100.4191055,6417.810059,93.67421722,166.0848083,183.6934357,0.321194977,100.0602722,85.1852417,320.8353577,198.2971191
45,6/16/22 13:00,10533.60059,99.57653046,135.0050354,133.3174133,9.803812027,100.1495361,6389.613281,102.9371643,168.97995,181.4073334,0.399520874,99.17644501,84.53239441,321.5002441,192.7681122
46,6/16/22 6:00,9818.176758,99.75219727,134.6289063,133.0128479,7.033795357,100.0169373,6396.830078,98.6895752,165.6311188,180.6460571,0.362086117,99.39011383,84.7026825,320.3921509,193.2333527
47,6/15/22 13:00,10907.50293,99.90844727,134.8213654,133.0007935,6.453624249,100.4903259,6392.186523,102.9119949,165.4701843,182.0455933,0.401535034,99.50401306,84.7934494,319.5513916,193.5936432
48,6/15/22 6:00,10672.12402,100.582428,135.9313965,133.7188721,6.79569149,100.5056839,6421.084473,102.3241196,166.696579,182.7718048,0.164486945,100.4250336,90.10121918,318.349823,195.7892914
49,6/14/22 13:00,9936.692383,99.75120544,134.8774261,133.0612183,9.632374763,100.0503082,6386.416016,104.8280334,164.9069824,182.4536591,0.37853241,99.36214447,88.19086456,319.1995239,196.4888458
50,6/14/22 6:00,10228.11426,99.75708008,134.8903961,132.9036407,5.384092808,99.96238708,6411.361816,100.0824051,164.0970917,183.4564209,0.247955322,99.49943542,88.09079742,321.7977905,198.0219116
51,6/13/22 13:00,10173.19141,99.98340607,134.6969604,132.9098969,7.812260151,100.4000397,6411.503906,102.9174805,164.2547607,183.1034393,0.231361389,99.72953796,90.234375,323.5209045,197.7686615
52,6/13/22 6:00,9904.301758,99.31183624,134.5153809,132.6237946,3.455898285,99.69062805,6369.61084,96.83240509,164.249939,182.6299133,0.327682495,99.01561737,86.89169312,323.0041504,197.8495331
53,6/12/22 13:00,9830.796875,99.4959259,134.4636078,132.5133209,8.390249252,100.0894165,6410.389648,104.4861908,163.5314941,182.6824036,0.376735181,99.14497375,90.25853729,320.1599121,196.4848938
54,6/12/22 6:00,10341.06152,99.74197388,134.0572052,132.4125214,17.64670372,99.88484955,6435.640625,99.65856171,163.366394,182.9904327,0.217285156,99.52964783,88.10237122,322.948822,201.3053589
55,6/11/22 13:00,10261.68555,99.48059845,134.0720673,132.3891144,6.992525101,100.0954208,6513.89502,105.4764786,163.0922394,183.1394501,0.27465412,99.19525146,86.51438904,324.3261719,201.1881561
56,6/11/22 6:00,10521.77637,99.69239044,134.0041046,132.3608398,14.78260899,99.80387115,6489.598633,99.52464294,163.5575409,182.7939911,0.177463785,99.5149231,89.16036224,320.8455505,201.1796112
57,6/10/22 13:00,10047.47363,99.53353882,135.6431122,133.3396454,1.140234828,100.3863525,6483.445313,107.1915665,170.7165527,182.925415,0.282745361,99.2594986,88.95040894,315.9493103,193.3644562
58,6/10/22 6:00,8789.896484,98.82064819,134.5878143,132.689621,4.761947155,99.10390472,6464.08252,100.213623,169.0932159,182.4058075,0.269932061,98.54858398,84.88627625,324.5902405,193.6600952
60,6/9/22 6:00,11298.91992,99.69177246,135.2386475,133.34198,11.18770123,99.72915649,6530.818848,96.79718018,168.0175781,183.1100464,0.234600067,99.43313599,83.87756348,318.6676025,197.4014282
62,6/8/22 6:00,11266.61133,99.54335022,136.2987823,134.1358948,1.325513124,99.90229034,6506.571777,101.0799179,171.7127533,183.3202667,0.248718262,99.29946899,86.46434021,318.0592957,194.8639984
63,6/7/22 13:00,9991.130859,99.60479736,135.2116394,133.4202576,2.023182869,100.0688171,6295.947754,105.2516174,169.2175293,185.8558807,0.401916504,99.18411255,84.49577332,325.2615356,200.4380798
64,6/7/22 6:00,10022.93359,99.96013641,134.8179626,133.4281921,16.12194061,100.123291,6382.277832,93.96759796,167.1818695,185.0675964,0.292739868,99.64221954,84.61708069,324.1790771,203.5543976
65,6/6/22 13:00,6139.729004,97.71583557,133.7419586,132.4450684,83.03395081,98.96047211,5651.32373,92.68228912,166.9584351,209.3941345,1.124035358,96.57409668,82.55594635,356.9480286,238.9597626
66,6/6/22 6:00,8465.854492,100.0708771,133.6259918,132.5868683,18.0161953,100.0029984,6209.366211,85.41738129,160.183609,174.5168152,0.261005908,99.81117249,84.59676361,324.5359192,187.3914642
67,6/5/22 13:00,7047.259277,92.80059814,129.2193604,128.1567383,52.40532303,94.01397705,6184.166992,84.85230255,163.4619141,186.4465485,0.638122559,92.1711731,82.40479279,333.6474915,202.4011383
68,6/5/22 6:00,8783.575195,99.02114868,133.9440918,132.555542,7.588104248,99.3451004,6222.060547,89.36248779,168.5931396,193.5516357,0.418392956,98.57575226,85.58837891,330.8996582,211.3244781
69,6/4/22 13:00,9267.165039,99.53308105,133.8767548,132.5672455,12.39039612,99.92467499,6441.552246,95.18987274,161.7074127,177.5931854,0.285221994,99.20345306,83.59603882,316.1763611,193.8672333
70,6/4/22 6:00,11354.27051,100.268898,134.2574615,133.0184937,2.778707504,100.3082809,6514.708496,92.63722992,159.929306,174.7742767,0.098190308,100.1571655,85.25365448,305.379425,190.700943
72,6/3/22 6:00,8349.003906,101.3292694,135.0042725,134.1427612,23.78494072,101.2334213,6577.182129,85.62509918,166.4107208,176.1027222,0.002176794,101.3568878,88.18858337,327.4029541,189.3737946
73,6/2/22 13:00,10340.01074,100.5286789,134.8017883,133.4187317,3.449885607,100.6552124,6577.88916,98.96546173,169.0480042,183.2205353,0.034061205,100.5530548,89.12574768,323.6843872,198.4196472
74,6/2/22 6:00,9911.301758,99.79763031,133.7341309,132.5701904,7.718553066,99.58244324,6638.566895,94.20578003,164.013382,180.1351929,0.03993988,99.78309631,88.17077637,326.5319824,196.2114105
75,6/1/22 13:00,11384.63379,98.78009796,134.1793365,132.5343323,1.01161468,99.76354218,6592.466309,104.2609711,165.0572815,179.2400055,0.265277982,98.50064087,87.57377625,321.0872498,191.3543701
76,6/1/22 6:00,11707.72461,99.42626953,134.4932556,132.850647,2.102889061,99.64492798,6498.400391,103.3271332,162.6841278,176.9385376,0.263404846,99.17195129,86.66092682,320.5487061,190.3858032
79,5/30/22 13:00,11530.14844,98.79295349,134.3597412,132.4035645,2.951804638,99.32988739,6608.142578,100.9640579,168.3206177,178.5261993,0.201263428,98.58398438,87.82893372,321.9089661,189.7781372
80,5/30/22 6:00,11053.60547,100.406189,135.6629486,133.9328003,0.985629082,100.4922562,6610.890625,100.6837997,168.1671143,179.2512054,0.08026123,100.3127289,88.31156158,317.4033508,189.7554474
81,5/29/22 13:00,10294.15723,99.70283508,135.0949554,132.9472809,3.544916868,100.4102097,6351.248047,99.80913544,166.7915344,180.0432892,0.338745117,99.32975769,88.65394592,318.5358582,190.2849884
84,5/27/22 13:00,12505.40332,100.5010223,136.072998,133.7982178,2.904731989,101.078392,6494.108887,103.4938583,167.946167,179.9235077,0.249710083,100.271225,88.40881348,314.3865967,191.8933105
