Index,Date,RX.TB.RECYCLE.CHARGE.BPD,RX.TB.RECYCLE.CHARGE.PCT,RX.NORTH.TC.CHARGE.BPD,RX.NORTH.TC.CHARGE.CV.PCT,RX.NORTH.FLUSH.PSIG,RX.NORTH.OUT.F,RX.SOUTH.TA.RECYCLE.CHARGE.BPD,RX.SOUTH.TA.RECYCLE.CHARGE.PCT,RX.SOUTH.TC.CHARGE.BPD,RX.SOUTH.TC.CHARGE.CV.PCT,RX.SOUTH.FLUSH.PSIG,RX.SOUTH.OUT.F,RX.SOUTH.WATERRETURN.F,RX.SOUTH.WATERRETURN.PH,RX.OUT.DELTA.F
0,7/15/22 13:00,2129.64624,18,2675.764893,18.6390686,154.651001,98.29890442,6399.555664,51.66233826,2656.32959,18.04207611,143.763855,101.0686264,83.57925415,6.6152215,-2.765020609
1,7/15/22 6:00,2272,18,2525.604736,16.98755646,154.9970703,94.09553528,6395.504883,51.38218689,2514.057617,16.42683601,145.5339355,97.15179443,80.87692261,6.616475582,-3.041529655
2,7/14/22 13:00,2201.021484,18,2205.657471,13.89487362,154.587738,97.24479675,5933.965332,49.18594742,2414.575195,0,145.1560974,101.5997391,85.2561264,6.553259373,-4.411693096
3,7/14/22 6:00,2298.876953,18,2419.37085,15.55793953,153.0914307,94.88616943,5902.112793,49.26596451,2375.452881,14.67038441,143.6205597,97.67050171,82.32585144,6.557726383,-2.753258467
4,7/13/22 13:00,2269.168213,18,2569.280518,17.27506256,149.634552,99.74843597,5749.19873,48.75584412,2567.080566,16.4713192,141.7488098,102.5134277,86.02752686,6.56847477,-2.850717783
5,7/13/22 6:00,2296.514893,18,2796.850098,19.39100647,153.9134369,96.28433228,5783.811523,48.84654236,2694.436035,19.13258362,144.8303223,98.89122772,82.81827545,6.570189476,-2.566179037
6,7/12/22 13:00,1986.386841,18,1607.221069,6.469383717,116.7490082,92.93876648,6331.855957,51.15420914,2398.480957,0,116.6381531,100.0654907,84.14706421,6.56918478,-7.04203558
7,7/12/22 6:00,2309.715088,18,2645.928711,18.52662659,145.1145172,96.92016602,6539.573242,51.63563538,2692.12915,17.85316086,138.4632111,99.91699219,82.89779663,6.55833149,-2.960924149
8,7/11/22 13:00,2299.804688,18,2988.012207,22.39526749,148.0049133,99.04296875,6431.368164,51.68169403,3031.110107,21.79112244,141.9822693,101.8423462,83.83346558,6.512125015,-2.809577227
9,7/11/22 6:00,2313.606201,18,2832.299316,19.98629951,148.0808258,94.35476685,6453.387695,51.41442871,2794.85498,20.03818321,142.0116425,97.19581604,80.6350708,6.493562222,-2.926249266
10,7/10/22 13:00,2295.806885,18,2538.186768,17.62194633,151.5906677,99.3269577,6428.966797,51.70006561,2660.552246,18.02877998,143.8363342,102.538559,86.23136139,6.508944511,-3.070630074
11,7/10/22 6:00,2345.141602,18,2721.600586,19.33886147,155.2444458,98.25592041,6450.285156,51.38178253,2699.795166,19.44498444,146.9291687,101.4317322,85.31594086,6.51820612,-3.171291351
12,7/9/22 13:00,2336.494385,18,2891.922363,20.98538971,141.647522,101.1198425,6448.794434,51.77981949,2994.448242,22.38444328,136.1558838,104.1301041,86.92008972,6.52755022,-3.073712826
13,7/9/22 6:00,2369.328369,18,2432.723145,15.72543907,145.395401,97.3526001,6529.932129,52.22655487,2458.779541,16.12165642,143.7163086,100.4010086,84.04154205,6.518818378,-2.926417112
14,7/8/22 13:00,2365.652344,18,2655.507324,18.6359005,141.726944,100.7907181,6500.510742,51.9236908,2781.118408,19.0567627,140.5514984,103.7851028,86.5258255,6.512223721,-3.058992386
15,7/8/22 6:00,2401.428223,18,2210.950439,14.00427246,146.3623047,95.11566162,6474.868652,51.83685684,2187.96167,2.770992517,144.5579529,98.60229492,83.3282547,6.517710686,-3.548676968
16,7/7/22 13:00,2367.050049,18,2409.260742,15.81153393,145.1911926,98.73504639,6513.475586,52.03050613,2549.913086,16.12324524,145.4582214,101.5441895,85.35308838,6.512213707,-2.665286779
17,7/7/22 6:00,2414.503418,18,2334.507568,15.24098015,147.0975189,95.28691864,6508.936035,51.69192886,2456.009766,15.39962006,144.2409515,98.28565979,83.13258362,6.527048111,-3.055792809
18,7/6/22 13:00,2388.161377,18,2824.400635,20.37689018,143.2081299,100.539299,6525.554199,52.16001511,2915.998779,21.8686676,142.9266052,103.500267,87.16855621,6.520174503,-2.95524168
19,7/6/22 6:00,2404.220703,18,2226.517578,13.97601223,139.9665833,96.07172394,6501.810059,51.76868439,2184.540039,8.506357193,139.7467346,99.52097321,84.6055069,6.526091576,-3.245554447
20,7/5/22 13:00,2396.502686,18,2255.220703,14.13940239,147.4501343,99.78373718,6486.11377,52.01480484,2307.305908,3.569024563,143.1668549,103.2314072,87.95837402,6.534704208,-3.469110012
21,7/5/22 6:00,2407.92627,18,2855.968018,20.70112991,141.1857605,98.29124451,6565.196289,52.00173187,2897.493164,21.60883141,138.5971069,101.3078384,84.84931946,6.508298397,-3.12388587
22,7/4/22 13:00,2395.827393,18,2856.515137,20.75027275,117.7441559,101.8060379,6597.453613,51.88521576,3067.762695,21.40008354,119.4109955,104.9246216,88.05473328,6.533775806,-3.026134014
23,7/4/22 6:00,2403.582764,18,2430.99707,15.31922054,138.8956757,98.90258789,6551.986816,51.95730972,2419.807373,13.81649208,136.4270477,101.7681961,85.01455688,6.558731556,-2.966770411
24,7/3/22 13:00,2358.718994,18,2698.504639,19.56261635,135.980484,100.3794403,6578.120605,52.49491119,2847.989746,19.89344597,134.9286346,103.3233719,86.31215668,6.54986763,-2.973476171
25,7/3/22 6:00,2400.32959,18,2394.51123,15.31262302,142.413147,98.09913635,6577.958496,52.60189056,2447.53418,15.18317318,140.4533386,100.9417267,84.24949646,6.583949566,-2.917176485
26,7/2/22 13:00,2414.501221,18,2646.967041,18.45523071,138.9713287,99.65616608,6564.624023,51.75423431,2723.586182,18.96284294,134.8673553,102.5060043,86.52534485,6.555583954,-2.808169127
27,7/2/22 6:00,2408.711182,18,2984.55127,22.67280006,134.6588135,98.55377197,6517.941406,52.0450058,3170.236328,22.2467556,132.0739746,101.6790771,84.31076813,6.536746502,-3.134536266
28,7/1/22 13:00,2399.748291,18,2747.35791,20.00589752,144.1673279,100.5761719,6473.206055,51.78848648,2866.554199,20.13530731,141.5908813,103.5443192,85.01998901,6.496972561,-2.966871023
29,7/1/22 6:00,2419.342041,18,2576.531494,16.81122208,145.9920197,95.80515289,6541.192871,51.98382187,2538.546387,16.20747757,143.8977509,98.28674316,81.76187897,6.507770061,-2.422665119
30,6/30/22 13:00,2405.212402,18,2636.986572,18.61533356,146.0451813,100.1631699,6559.3125,51.03451157,2669.706543,18.72482109,143.9117432,103.3467636,84.99329376,6.538682461,-3.318602324
31,6/30/22 6:00,2423.796631,18,2687.886475,18.86240578,151.7784119,95.02441406,6542.864258,52.16374207,2736.945068,18.59428978,148.2660217,97.72285461,81.04736328,6.558331966,-2.756431818
32,6/29/22 13:00,2413.73291,18,2677.43042,18.54850769,136.0630035,100.1554871,6554.862305,52.07899094,2840.654541,19.36837387,134.162323,103.117836,85.10391235,6.579886436,-2.907389164
33,6/29/22 6:00,2414.688232,18,2674.961426,18.02484894,140.1017456,97.23205566,6484.787598,52.06690979,2661.231934,17.90328979,137.2928619,100.1861572,82.63906097,6.582760811,-2.9850564
