,Date,TC_Tray7_Temp,TC_Tray40_Temp,TC_Charge_Temp,TC_Overhead_Pressure,TC_Overhead_Reciever_Temp,TC_Tray24_Temp,TC_Differential_Pressure,TC_Bottom_Pressure,TC_Reboil_Out_Temp,TC_Reboil_Condensor_lbs
1309,2020-05-16 06:00:00,190.2475281,203.5865784,161.8438721,242.1518555,159.87854,166.0893707,2.938705444,245.3117371,206.9519196,5907.143066
1310,2020-05-15 13:00:00,192.6730957,205.0361786,166.9799805,242.3211517,168.9089508,173.2118225,2.931945801,245.3575134,207.7279053,5611.73584
1311,2020-05-15 06:00:00,191.6788635,204.3838501,165.512085,241.8863525,164.8223877,168.408844,2.985687256,244.8579712,207.0922852,5734.189453
1312,2020-05-14 13:00:00,192.0317383,204.3495178,170.3521729,241.6381378,165.7318115,172.72789,2.956813097,244.556427,207.5683594,5491.395508
1313,2020-05-14 06:00:00,191.429306,203.8231812,163.4245758,239.9392242,164.8018799,167.5457458,3.084600449,242.9333344,206.5943756,5786.73291
1314,2020-05-13 13:00:00,192.0663605,204.2121887,167.4835205,243.4579163,165.9729156,170.7279205,3.03352356,246.4752197,207.2753906,5675.569824
1315,2020-05-13 06:00:00,192.2219849,204.5898438,164.2944336,243.0769501,166.2048492,167.5956726,2.956893921,246.0136261,207.4157867,5695.121582
1316,2020-05-12 13:00:00,191.2657471,203.8069916,166.638382,239.3053436,165.4752197,170.266571,3.032584667,242.2937317,206.8296051,5554.70459
1317,2020-05-12 06:00:00,191.2299957,203.7762146,166.3057709,239.2742157,165.5229645,170.0103607,3.010733366,242.2369385,206.8773346,5561.147949
1318,2020-05-11 13:00:00,192.0919037,204.6966553,162.7077637,241.5476837,167.4098969,168.9197235,2.960273504,244.4837189,207.3768616,5757.486816
1319,2020-05-11 06:00:00,191.7126617,204.2438965,159.8748627,239.8284454,168.0921478,166.5699463,3.004914761,242.845932,206.4300537,6004.705078
1320,2020-05-10 13:00:00,192.7885742,204.740509,163.8663788,241.1100159,169.9222717,169.5705872,2.971091986,244.0938721,207.1299744,5781.285645
1321,2020-05-10 06:00:00,192.8433228,205.1773071,161.2030029,242.6191559,169.7143555,167.5528717,3.145462036,245.7466278,207.2143555,6067.47998
1322,2020-05-09 13:00:00,192.8000183,204.88414,167.7321625,242.4976654,170.0514832,170.1103821,2.936578035,245.4620667,207.0657501,5910.818359
1323,2020-05-09 06:00:00,193.270462,205.0590363,163.451767,243.0665436,171.6247711,166.8337708,3.150297403,246.1841888,207.2628479,6288.117188
1324,2020-05-08 13:00:00,195.9746246,208.0469055,163.4280548,249.0518799,170.9713898,172.2348938,2.988004684,252.0417633,210.1260529,6096.919434
1325,2020-05-08 06:00:00,193.4447174,205.6283569,183.3730316,246.9118042,165.0275574,168.2015991,2.907836676,249.8171234,208.5158081,6098.160645
1326,2020-05-07 13:00:00,191.1951141,204.0134888,166.8728943,238.0812836,168.1420288,170.706665,3.075959444,241.2111053,206.5681763,5974.894043
1327,2020-05-07 06:00:00,191.4223175,204.1209564,160.7880402,238.7446289,168.1721039,167.066864,3.218268156,241.9514923,206.1932373,6331.852051
1328,2020-05-06 13:00:00,191.9844818,204.4257965,164.6287842,240.3333282,168.6431122,170.7384491,3.134064436,243.4431915,206.8218842,6240.631348
1329,2020-05-06 06:00:00,191.2030487,203.6269531,161.0198975,238.9621735,167.4886627,166.9627686,3.310389519,242.2892914,206.1340485,6534.104492
1330,2020-05-05 13:00:00,191.5972137,204.0489197,164.5172119,239.4492035,166.9036865,170.7585449,3.230895996,242.603302,206.2683258,6359.254883
1331,2020-05-05 06:00:00,190.3537903,203.1097412,159.9365234,238.7239075,164.7796631,166.3824768,3.196796894,241.897583,205.5541992,6410.89502
1332,2020-05-04 13:00:00,192.5722504,204.8871613,171.030304,241.9320221,167.8958282,174.9968567,3.262898207,245.1629639,207.8371429,5926.886719
1333,2020-05-04 06:00:00,191.3352509,204.0061951,165.8483582,240.3516541,166.5957794,168.5690613,3.160078764,243.587616,206.6728363,6214.785156
1334,2020-05-03 13:00:00,192.2848511,204.4341736,168.357254,240.342453,168.4219208,174.947052,3.016351461,243.4672394,207.0181732,5664.775879
1335,2020-05-03 06:00:00,191.3826294,204.0710602,164.6942139,241.1643829,165.8325195,168.3596191,3.050979614,244.2703247,206.8847656,5940.521973
1336,2020-05-02 13:00:00,191.0856323,203.7029877,169.3461151,241.3003082,162.9730225,173.6457672,3.008559704,244.2038269,207.110611,5455.63623
1337,2020-05-02 06:00:00,189.8196259,203.3920288,163.9515839,240.521225,159.5648804,166.7507477,3.045285702,243.5806122,206.6357117,5819.859375
1338,2020-05-01 13:00:00,189.6312714,203.4683228,166.1322174,239.8293915,162.9810333,170.7965088,2.844842434,242.6741333,207.1232452,5374.238281
1339,2020-05-01 06:00:00,187.0137177,201.8470764,163.4774323,242.0402679,147.354126,164.0600128,2.82989049,244.8646088,207.0678711,5198.961426
1340,2020-04-30 13:00:00,173.404541,192.6498413,161.1236572,216.866684,156.5216064,156.6722412,2.466058016,218.7423706,199.5483398,4193.231445
1341,2020-04-29 06:00:00,187.3709717,199.1721039,198.9471436,231.8960419,161.2487793,164.3786011,2.44758606,234.4474792,203.6865234,5499.490723
1342,2020-04-28 13:00:00,189.9276123,202.7463226,166.9431763,238.6508636,165.0848389,171.8006744,2.559255362,241.5890656,205.8653412,4190.888672
1343,2020-04-28 06:00:00,186.6201935,198.9059448,197.3723297,229.6229401,161.0015869,163.7116394,2.592417955,231.9312286,205.1452789,6111.382813
1344,2020-04-27 13:00:00,191.255127,203.3042908,166.2104034,242.9451599,162.8932343,170.4877014,2.861129761,245.8686981,207.1243439,5408.55957
1345,2020-04-27 06:00:00,191.0350952,203.7315369,161.9293213,242.9213867,165.2954102,166.4293518,2.951263666,245.8839417,206.9152985,5733.730957
1346,2020-04-26 13:00:00,190.2783356,202.279007,198.3015289,232.5036316,168.2736969,169.5622101,2.683616161,235.3154449,204.5993805,5213.272949
1347,2020-04-26 06:00:00,188.2663422,201.2519989,201.4492188,240.9930878,130.3486328,164.9197998,2.575576067,243.6335754,206.4914703,6185.605957
1348,2020-04-25 13:00:00,190.7212219,202.7702332,164.1998291,238.6835327,167.1081696,169.0509338,2.436702728,241.1880493,205.8410797,4254.039063
1349,2020-04-25 06:00:00,190.6669159,204.0176392,146.5815125,243.9284515,165.8888245,164.7662964,3.427185059,247.2229156,207.9738159,4735.271973
1350,2020-04-24 13:00:00,190.622757,202.6139221,165.6434326,237.8479004,165.1759033,171.3515625,2.485494375,240.332428,205.9727936,4179.815918
1351,2020-04-24 06:00:00,186.8932495,201.380188,166.4561157,240.315567,131.5968323,163.4205322,2.579563618,242.843399,206.0625458,3756.116699
1352,2020-04-23 13:00:00,191.1889648,202.7306366,202.6955872,242.6722717,143.65448,170.9154968,2.424665451,244.9738159,207.7858734,4572.150391
1353,2020-04-23 06:00:00,187.663681,203.0105591,167.2475586,240.5193176,131.5130768,164.0181732,4.054443359,244.5984039,206.5590057,3704.765869
1354,2020-04-22 13:00:00,189.7367859,202.4497986,193.6291809,239.5649109,146.5313416,168.4289703,2.34664917,241.9281006,206.1532593,3769.057373
1355,2020-04-22 06:00:00,189.5607758,201.8951874,193.7927399,236.9792938,158.7036133,166.1082153,2.43977356,239.4371033,205.7556305,3995.032227
1356,2020-04-21 13:00:00,192.6016235,204.2708282,165.3138275,239.5231934,173.4325104,171.8072357,2.549930096,242.0653076,206.5617828,4327.849121
1357,2020-04-21 06:00:00,191.1513519,202.5234833,191.5815735,234.7945709,167.6012573,166.6506805,2.591868401,237.4753265,204.9934845,5000.14209
1358,2020-04-20 13:00:00,178.3684082,189.9708252,182.841568,201.6996002,140.8104248,160.8464966,1.897368073,204.6699677,214.6212616,4097.629395
1359,2020-04-20 06:00:00,190.760788,203.5636902,168.8995361,240.4474487,152.34375,164.9519348,2.659641981,243.1221161,205.7434235,4473.95166
1360,2020-04-19 13:00:00,191.797348,204.044342,189.8742828,239.9815063,163.961792,170.079834,2.553726196,242.5765991,206.3842773,4729.081055
1361,2020-04-19 06:00:00,192.28302,204.2076111,177.6977539,241.7037659,171.5789795,166.5258026,2.577575684,244.3389893,206.640625,4926.230957
1362,2020-04-18 13:00:00,192.6644592,203.9794922,200.1831055,242.018631,166.4672852,166.6458435,2.904998064,244.8768616,206.7993164,7080.581543
