,Date,TB_Charge,TB_Charge_Condensor,TB_Charge_Temp,TB_Overhead_Temp,TB_Overhead_Pressure,TB_Overhead_Receiver_Pressure,TB_Overhead_Receiver_Temp,TB_Overhead_Reciever_LVL_PCT,TB_Bottom_Pressure,TB_Bottom_LVL_PCT,TB_Differential_Pressure,TB_Bottom_Temp,TB_Reboil_Out_Temp
28,2022-07-01 13:00:00,14240.65527,3522.768311,153.7994385,168.5772705,184.4512939,185.5426025,102.3699951,24.91504669,189.3319855,80.65962219,5.409851074,217.1766357,220.8725739
29,2022-07-01 06:00:00,11306.97754,3687.839844,153.8922119,176.6351318,184.2993317,184.4232178,87.79297638,76.77103424,188.0935669,85.44035339,3.845214844,216.2151947,218.3303833
30,2022-06-30 13:00:00,11642.41309,3232.493896,153.9803009,168.0346832,183.0657959,183.0883942,96.88375092,32.79047775,187.9000854,85.33972931,4.873352051,215.1850433,217.716568
31,2022-06-30 06:00:00,12951.75586,4076.47168,151.774292,180.6188965,182.9063568,186.0424805,90.9161377,81.37619019,187.0227814,85.74162292,4.055099487,218.6360168,221.4125519
32,2022-06-29 13:00:00,13397.62402,3537.479736,152.7828979,169.2218018,182.8553009,182.876358,91.62094116,62.74269104,188.863678,84.03882599,6.03515625,215.7230072,218.0753937
33,2022-06-29 06:00:00,12323.13867,3702.445313,152.8681488,171.3923187,183.1741333,183.3297729,83.08385468,76.29953766,189.0678406,83.85955811,5.93568182,218.1610107,220.272583
34,2022-06-28 13:00:00,12599.23633,3322.275635,153.3005219,168.3824615,183.3942413,183.1187592,92.8870163,41.74074936,186.5917969,86.14953613,3.234097481,214.7481842,217.649353
35,2022-06-28 06:00:00,13214.83594,4045.577637,152.9647827,175.1124115,183.0640411,185.4031372,81.47735596,78.75673676,188.2029877,84.82624054,5.025091171,218.7542877,220.9319458
36,2022-06-27 13:00:00,13627.31836,3983.491455,152.9711914,175.6256104,183.8067627,183.2483063,81.9317627,49.22607422,188.1152344,87.84176636,4.208666801,215.7115631,218.134552
37,2022-06-27 06:00:00,11849.625,4049.770996,153.0639648,180.6323242,183.1375122,185.5783081,69.95697021,79.68414307,187.1429596,84.61183929,4.07043457,217.9320984,220.0616913
38,2022-06-26 13:00:00,11198.62402,3238.349365,153.6056519,179.5559845,183.026123,182.7170563,92.2670517,15.65338516,185.4952393,84.02100372,2.470092773,216.2151947,218.4528351
39,2022-06-19 13:00:00,9206.326172,3244.802734,148.9896698,182.3476257,183.6141357,183.9228058,102.9348297,85.81466675,181.8058777,84.97061157,-1.836166382,210.0992126,212.0128021
40,2022-06-19 06:00:00,10141.57324,3930.84082,148.0693512,180.5914307,182.9534149,182.7978516,84.71517181,56.40810776,184.969635,85.38208008,2.042232037,213.485321,215.2477112
41,2022-06-18 13:00:00,11667.03613,3361.007813,154.3363953,172.0692444,183.3190155,184.3766022,102.5939941,86.63152313,186.7043304,86.11933899,3.40171814,214.3780975,216.2998962
42,2022-06-18 06:00:00,11426.23438,3722.665283,153.187561,178.0348206,182.9194641,182.5284576,85.33193207,47.54573822,187.2441101,84.7155304,4.310913086,216.7874908,218.87677
43,2022-06-17 13:00:00,11615.17969,3637.962646,152.968338,178.1972198,180.4824829,180.4580688,103.4077988,83.62834167,179.838562,84.93010712,-0.648498535,209.9580383,212.1271515
44,2022-06-17 06:00:00,11914.10352,3838.284912,153.246048,176.3966827,183.1069946,182.7346802,85.04486084,54.57051849,187.6953125,84.86398315,4.629506588,218.7333069,221.1082764
45,2022-06-16 13:00:00,11589.05469,3261.799561,153.2501221,171.3665771,182.6733551,180.6724548,100.8467178,33.09234619,186.0889587,85.46221924,3.441248417,217.0507355,219.2748108
46,2022-06-16 06:00:00,11497.71777,3456.325684,152.8076172,178.318634,182.9859924,182.7262115,86.83929443,76.63406372,187.4670563,84.95671844,4.521331787,220.3357391,222.8108063
47,2022-06-15 13:00:00,12064.36914,3320.617676,153.1762695,174.2503967,183.9247131,185.3552246,104.5728607,86.90155792,187.3899994,86.09175873,3.441314697,217.359787,219.9720612
48,2022-06-15 06:00:00,12234.01367,3692.789307,152.9998779,174.6599426,183.40271,183.3659363,88.30754852,76.05600739,188.1057739,84.92732239,4.740756035,218.2754669,220.4675598
49,2022-06-14 13:00:00,12057.20703,3303.507568,154.3331451,176.2245331,183.9295959,185.4084778,101.8079147,82.82218933,187.0739746,84.77524567,3.008270264,217.9759674,220.4789581
50,2022-06-14 06:00:00,11792.42383,3525.332031,152.7779083,178.4388885,185.52742,188.3166504,92.10741425,88.99832153,189.8638153,85.46767426,4.362106323,220.6352539,223.2962799
51,2022-06-13 13:00:00,12631.98828,3678.55957,152.9169769,172.7294922,185.2253113,186.3883972,107.1436615,84.58010864,188.0306244,84.71689606,2.922058105,217.1308594,219.5160217
52,2022-06-13 06:00:00,11972.88477,3715.339355,153.421524,175.2271118,183.1665039,183.0196381,87.74286652,11.85118389,186.9289398,83.64724731,3.75213623,217.8653259,219.9457397
53,2022-06-12 13:00:00,12117.8623,3470.585693,153.0571442,171.0304871,183.5118103,182.4952698,107.0634003,18.51558685,185.3979645,84.03617096,2.915200233,215.8870544,218.0601044
54,2022-06-12 06:00:00,12120.91406,3765.391113,153.7322998,177.6000977,182.7400208,182.059021,95.34576416,44.12610245,186.7553711,85.76450348,4.001617432,217.0011444,219.3802185
55,2022-06-11 13:00:00,13900.7041,3565.256104,151.6261749,172.945755,182.2375488,179.5883179,108.940834,77.58737946,184.8342896,85.69191742,2.550971508,214.8950806,217.3812256
56,2022-06-11 06:00:00,12040.88281,3826.455078,153.2928467,176.5134735,183.0938721,182.4649048,87.67324066,63.08899307,187.3568726,85.9772644,4.302368164,216.1617737,218.3946228
57,2022-06-10 13:00:00,11864.77734,3329.674805,154.3251495,170.7948914,180.8535919,181.50177,103.7711639,88.72162628,184.2840576,83.97457123,3.107299805,218.5120239,220.9913635
58,2022-06-10 06:00:00,12316.16016,3701.08252,152.7054901,171.8764191,183.5406494,182.923584,78.95558929,23.39701271,187.9751587,81.12062073,4.490966797,222.2891998,224.9479218
59,2022-06-09 13:00:00,13611.63281,3672.599365,152.62146,168.2815552,183.3457947,181.4094543,95.36133575,32.05451965,188.5894775,86.56816101,5.200195313,218.3899231,221.6311646
60,2022-06-09 06:00:00,12356.82227,3843.121094,152.8411865,173.815918,183.1077576,183.2382202,74.20654297,32.78465271,189.0014648,85.60688782,5.827331543,220.6791229,223.0607605
61,2022-06-08 13:00:00,11825.85352,3673.804932,155.2133179,171.2822418,183.0039215,182.5990448,83.90620422,26.22083092,186.0385895,83.20169067,3.048400879,216.0492249,219.3583984
62,2022-06-08 06:00:00,12896.29492,3673.246826,152.959549,170.1000519,182.6844025,182.1297455,91.36846161,53.63085556,188.432312,85.73078918,5.759277344,217.2453156,219.2653198
63,2022-06-07 13:00:00,14173.51855,3854.908936,152.1994019,168.9331055,182.7568817,182.194519,95.7081604,12.13873005,185.8879852,84.5140686,2.90404439,213.3422394,215.0391083
64,2022-06-07 06:00:00,12150.29688,4013.407227,152.7053833,176.0197449,183.0056915,182.7241516,91.03180695,26.02955055,184.749527,85.00952148,1.711800337,213.0732574,214.94841
65,2022-06-06 13:00:00,7201.617188,3123.418701,154.8326569,181.366272,183.9234924,181.9975281,102.671814,47.80713654,181.8922424,85.06005859,-2.078094482,204.1472778,205.2679901
66,2022-06-06 06:00:00,9524.198242,4241.29541,153.9906769,179.3792725,183.3804474,183.2432556,89.82675934,72.55437469,183.0102692,84.86112213,-0.354003906,206.993515,207.7735901
67,2022-06-05 13:00:00,8950.568359,3581.516602,154.1070557,187.2021637,183.9074707,184.9713135,108.4478836,78.86413574,182.4737701,84.39289856,-1.400756836,212.3464355,214.5826111
69,2022-06-04 13:00:00,11696.75098,3654.699219,153.4921722,178.0324402,182.7910614,181.7209625,94.61540222,48.88703537,184.1362,83.80249023,1.348956823,215.0438843,217.7782898
70,2022-06-04 06:00:00,11743.24414,4107.600098,152.3278351,175.4616394,182.9109192,183.225708,72.65487671,60.5658989,187.718811,85.68139648,4.817047119,216.804657,219.234314
71,2022-06-03 13:00:00,12428.5918,4175.900391,153.0329437,169.9676514,183.3563232,183.2646179,78.33516693,35.98833847,184.6847534,85.59629822,1.321868896,210.4921875,212.269516
72,2022-06-03 06:00:00,10180.1875,3867.888428,153.124588,183.5352631,187.9699707,191.1952209,67.96437836,90.22756195,188.5345459,84.89291382,0.539093018,212.1060638,213.9466095
73,2022-06-02 13:00:00,12241.46094,4136.861816,153.6454773,179.4174347,182.6376495,183.1169128,68.7134552,67.60620117,187.5244904,84.49009705,4.766921997,218.2411346,220.6790009
74,2022-06-02 06:00:00,12219.33496,4274.785645,153.4729004,184.6357727,182.9781036,183.0713654,65.88249207,30.1600666,187.4729919,84.93140411,4.498662472,219.3056183,221.6636353
75,2022-06-01 13:00:00,12585.65039,3665.681885,153.3871918,172.1221924,184.4255066,186.4854431,93.9151535,86.59739685,189.2965698,86.60995483,4.824752808,217.1346741,219.2325897
76,2022-06-01 06:00:00,12597.69629,3768.148926,153.3311005,171.5465851,184.1885376,187.262207,92.10871124,90.78275299,190.0483704,86.72434235,5.829162598,217.1861725,219.2282867
77,2022-05-31 13:00:00,12653.73438,3660.707764,154.1616821,173.7538147,186.4130402,188.4960938,97.42646027,86.33552551,190.0097046,84.82576752,3.991470337,217.4742432,219.5892944
78,2022-05-31 06:00:00,12507.3457,3840.648193,153.4498596,170.0315857,183.0173492,182.8333435,87.56843567,44.84630966,188.2965088,85.8057785,5.291976929,215.5284271,217.8089142
79,2022-05-30 13:00:00,12966.11816,3841.314697,153.381546,171.5330963,184.6676636,185.27771,100.687973,86.96395874,188.0799866,86.23283386,3.424063683,216.0015259,218.2498627
80,2022-05-30 06:00:00,12189.58594,3994.227051,153.6530609,176.345108,183.28125,183.0195618,80.89523315,37.75042343,187.7731323,85.11058044,4.55291748,217.9320984,220.1910706
81,2022-05-29 13:00:00,11586.0459,3497.664551,154.0840149,171.994278,182.5092316,180.9444427,98.30309296,21.07874489,184.9151611,84.527565,1.664733887,217.9320984,220.4315186
82,2022-05-28 13:00:00,12821.77832,3610.230713,154.072876,167.845459,183.0377197,180.0128174,103.6602859,64.00695801,186.5478668,85.52628326,3.523864746,214.3838196,217.5326538
83,2022-05-28 06:00:00,13008.78809,4170.016113,153.939209,171.5722809,182.9406738,182.7566528,80.68084717,26.08032227,188.1427002,84.44753265,5.19744873,215.8717957,218.8822784
84,2022-05-27 13:00:00,12984.1875,3684.157227,154.2018585,169.5375671,182.4197388,179.6019135,97.87271881,61.57552338,186.4459229,87.04395294,3.965759277,217.2567596,219.8224945
85,2022-05-27 06:00:00,12576.8125,4326.682129,153.6054535,183.1172638,182.7536011,183.5317993,72.30417633,29.05833054,186.8136597,82.84336853,3.647298574,223.0408325,225.6678314
