,Date,N_Butane
135,2022-05-02 06:00:00,14.80000019
136,2022-05-01 13:00:00,15.39999962
137,2022-05-01 06:00:00,13.0
138,2022-04-30 13:00:00,18.39999962
139,2022-04-30 06:00:00,12.30000019
140,2022-04-29 13:00:00,19.10000038
141,2022-04-29 06:00:00,13.69999981
142,2022-04-28 13:00:00,17.0
143,2022-04-28 06:00:00,12.69999981
144,2022-04-27 13:00:00,10.30000019
145,2022-04-27 06:00:00,10.5
146,2022-04-26 13:00:00,10.69999981
147,2022-04-26 06:00:00,9.399999619
148,2022-04-25 13:00:00,11.5
149,2022-04-25 06:00:00,12.19999981
150,2022-04-24 13:00:00,13.0
151,2022-04-24 06:00:00,12.5
152,2022-04-23 13:00:00,16.10000038
153,2022-04-23 06:00:00,13.19999981
154,2022-04-22 13:00:00,12.10000038
155,2022-04-22 06:00:00,11.80000019
156,2022-04-21 13:00:00,15.60000038
157,2022-04-21 06:00:00,11.0
158,2022-04-20 13:00:00,2.900000095
159,2022-04-20 06:00:00,11.5
160,2022-04-19 13:00:00,11.5
161,2022-04-19 06:00:00,11.69999981
162,2022-04-18 13:00:00,11.19999981
163,2022-04-18 06:00:00,11.89999962
164,2022-04-17 13:00:00,10.39999962
165,2022-04-17 06:00:00,12.69999981
166,2022-04-16 13:00:00,12.89999962
167,2022-04-16 06:00:00,13.30000019
168,2022-04-15 13:00:00,8.800000191
169,2022-04-15 06:00:00,13.10000038
170,2022-04-14 13:00:00,11.80000019
171,2022-04-14 06:00:00,7.199999809
172,2022-04-13 13:00:00,11.30000019
173,2022-04-13 06:00:00,11.30000019
174,2022-04-12 13:00:00,11.60000038
175,2022-04-12 06:00:00,15.10000038
176,2022-04-11 13:00:00,13.30000019
177,2022-04-11 06:00:00,12.89999962
178,2022-04-10 13:00:00,12.60000038
179,2022-04-10 06:00:00,13.0
180,2022-04-09 13:00:00,12.80000019
181,2022-04-09 06:00:00,13.30000019
182,2022-04-08 13:00:00,12.5
183,2022-04-08 06:00:00,12.0
184,2022-04-07 13:00:00,20.79999924
185,2022-04-07 06:00:00,14.5
186,2022-04-06 13:00:00,11.19999981
187,2022-04-06 06:00:00,11.39999962
188,2022-04-05 13:00:00,13.0
189,2022-04-05 06:00:00,12.69999981
190,2022-04-04 13:00:00,11.30000019
191,2022-04-04 06:00:00,12.80000019
192,2022-04-03 13:00:00,16.20000076
193,2022-04-03 06:00:00,12.30000019
194,2022-04-02 13:00:00,10.89999962
195,2022-04-02 06:00:00,11.60000038
196,2022-04-01 13:00:00,11.0
197,2022-04-01 06:00:00,11.19999981
198,2022-03-31 13:00:00,11.10000038
199,2022-03-31 06:00:00,11.5
200,2022-03-30 13:00:00,13.0
201,2022-03-30 06:00:00,13.0
202,2022-03-29 13:00:00,15.0
203,2022-03-29 06:00:00,14.39999962
204,2022-03-28 13:00:00,13.5
205,2022-03-28 06:00:00,13.0
206,2022-03-27 13:00:00,17.70000076
207,2022-03-27 06:00:00,13.10000038
208,2022-03-26 13:00:00,21.5
209,2022-03-26 06:00:00,15.39999962
210,2022-03-25 13:00:00,19.79999924
211,2022-03-25 06:00:00,15.80000019
212,2022-03-24 13:00:00,14.19999981
213,2022-03-24 06:00:00,12.0
214,2022-03-23 13:00:00,10.69999981
215,2022-03-23 06:00:00,10.89999962
216,2022-03-22 13:00:00,11.39999962
217,2022-03-22 06:00:00,18.89999962
218,2022-03-21 13:00:00,11.39999962
219,2022-03-21 06:00:00,11.80000019
220,2022-03-20 13:00:00,16.89999962
221,2022-03-20 06:00:00,11.69999981
222,2022-03-19 13:00:00,11.30000019
223,2022-03-19 06:00:00,11.39999962
224,2022-03-18 13:00:00,13.39999962
225,2022-03-18 06:00:00,14.19999981
226,2022-03-17 13:00:00,16.20000076
227,2022-03-17 06:00:00,15.69999981
228,2022-03-16 13:00:00,21.79999924
229,2022-03-16 06:00:00,14.60000038
230,2022-03-15 13:00:00,15.69999981
231,2022-03-15 06:00:00,18.39999962
232,2022-03-14 13:00:00,16.70000076
233,2022-03-14 06:00:00,17.60000038
234,2022-03-13 13:00:00,12.69999981
235,2022-03-13 06:00:00,11.80000019
236,2022-03-12 13:00:00,11.39999962
237,2022-03-12 06:00:00,10.60000038
238,2022-03-11 13:00:00,13.10000038
239,2022-03-11 06:00:00,14.60000038
240,2022-03-10 13:00:00,11.30000019
241,2022-03-10 06:00:00,10.19999981
242,2022-03-09 13:00:00,10.39999962
243,2022-03-09 06:00:00,8.800000191
244,2022-03-08 06:00:00,10.69999981
245,2022-03-07 13:00:00,30.29999924
246,2022-03-07 06:00:00,18.70000076
247,2022-03-06 13:00:00,18.0
248,2022-03-06 06:00:00,13.60000038
249,2022-03-05 13:00:00,11.5
250,2022-03-05 06:00:00,14.10000038
251,2022-03-04 13:00:00,15.60000038
252,2022-03-04 06:00:00,10.80000019
253,2022-03-03 13:00:00,10.5
254,2022-03-03 06:00:00,8.300000191
255,2022-03-02 13:00:00,8.199999809
256,2022-03-02 06:00:00,8.399999619
257,2022-03-01 13:00:00,7.400000095
258,2022-03-01 06:00:00,7.800000191
259,2022-02-27 13:00:00,14.30000019
260,2022-02-27 06:00:00,11.0
261,2022-02-26 13:00:00,12.19999981
262,2022-02-26 06:00:00,11.19999981
263,2022-02-25 13:00:00,9.600000381
264,2022-02-25 06:00:00,10.5
265,2022-02-24 13:00:00,11.39999962
266,2022-02-23 13:00:00,10.60000038
267,2022-02-23 06:00:00,8.899999619
268,2022-02-22 13:00:00,10.0
269,2022-02-22 06:00:00,11.19999981
270,2022-02-21 13:00:00,13.0
271,2022-02-21 06:00:00,13.5
272,2022-02-20 13:00:00,15.19999981
273,2022-02-20 06:00:00,11.69999981
274,2022-02-19 13:00:00,11.30000019
275,2022-02-19 06:00:00,10.89999962
276,2022-02-18 13:00:00,11.10000038
277,2022-02-18 06:00:00,12.19999981
278,2022-02-17 13:00:00,13.5
279,2022-02-17 06:00:00,12.30000019
280,2022-02-16 13:00:00,14.0
281,2022-02-16 06:00:00,10.80000019
282,2022-02-15 13:00:00,8.600000381
283,2022-02-15 06:00:00,9.300000191
284,2022-02-14 13:00:00,8.199999809
285,2022-02-14 06:00:00,11.0
286,2022-02-13 13:00:00,13.69999981
287,2022-02-13 06:00:00,14.10000038
288,2022-02-12 13:00:00,13.5
289,2022-02-12 06:00:00,12.5
290,2022-02-11 13:00:00,17.20000076
291,2022-02-11 06:00:00,13.0
292,2022-02-10 13:00:00,11.30000019
293,2022-02-10 06:00:00,11.89999962
294,2022-02-09 13:00:00,14.10000038
295,2022-02-09 06:00:00,9.399999619
296,2022-02-08 13:00:00,9.600000381
297,2022-02-08 06:00:00,9.699999809
298,2022-02-07 13:00:00,11.60000038
299,2022-02-07 06:00:00,10.19999981
300,2022-02-06 13:00:00,10.10000038
301,2022-02-06 06:00:00,11.89999962
302,2022-02-05 13:00:00,27.10000038
303,2022-02-05 06:00:00,26.10000038
304,2022-02-04 13:00:00,26.29999924
305,2022-02-04 06:00:00,17.70000076
306,2022-02-03 13:00:00,10.80000019
307,2022-02-03 06:00:00,11.30000019
308,2022-02-02 13:00:00,10.60000038
309,2022-02-02 06:00:00,12.0
310,2022-02-01 13:00:00,11.5
311,2022-02-01 06:00:00,13.0
312,2022-01-31 13:00:00,11.19999981
313,2022-01-31 06:00:00,10.89999962
314,2022-01-30 13:00:00,16.39999962
315,2022-01-30 06:00:00,11.0
316,2022-01-29 13:00:00,8.300000191
317,2022-01-29 06:00:00,9.600000381
318,2022-01-28 13:00:00,10.19999981
319,2022-01-28 06:00:00,12.19999981
320,2022-01-27 13:00:00,13.0
321,2022-01-27 06:00:00,14.69999981
322,2022-01-26 13:00:00,22.20000076
323,2022-01-26 06:00:00,18.10000038
324,2022-01-25 13:00:00,18.0
325,2022-01-25 06:00:00,17.20000076
326,2022-01-24 13:00:00,14.39999962
327,2022-01-24 06:00:00,12.5
328,2022-01-23 13:00:00,10.5
329,2022-01-23 06:00:00,10.19999981
330,2022-01-22 13:00:00,9.300000191
331,2022-01-22 06:00:00,11.30000019
332,2022-01-21 13:00:00,10.0
333,2022-01-21 06:00:00,9.5
334,2022-01-20 06:00:00,10.19999981
335,2022-01-19 13:00:00,10.69999981
336,2022-01-19 06:00:00,9.0
337,2022-01-18 13:00:00,9.800000191
338,2022-01-18 06:00:00,7.699999809
339,2022-01-17 13:00:00,6.5
340,2022-01-17 06:00:00,6.699999809
341,2022-01-16 13:00:00,5.699999809
342,2022-01-16 06:00:00,5.699999809
343,2022-01-15 13:00:00,6.300000191
344,2022-01-15 06:00:00,10.89999962
345,2022-01-14 13:00:00,0.300000012
346,2022-01-14 06:00:00,5.400000095
347,2022-01-13 13:00:00,4.900000095
348,2022-01-13 06:00:00,4.699999809
349,2022-01-12 13:00:00,5.0
350,2022-01-12 06:00:00,6.5
351,2022-01-11 13:00:00,6.599999905
352,2022-01-11 06:00:00,7.400000095
353,2022-01-10 13:00:00,7.699999809
354,2022-01-10 06:00:00,8.300000191
355,2022-01-06 13:00:00,8.100000381
356,2022-01-06 06:00:00,7.900000095
357,2022-01-05 13:00:00,6.800000191
358,2022-01-05 06:00:00,8.100000381
359,2022-01-04 13:00:00,7.900000095
360,2022-01-04 06:00:00,6.900000095
361,2022-01-03 13:00:00,8.5
362,2022-01-03 06:00:00,9.199999809
363,2022-01-02 13:00:00,10.10000038
364,2022-01-02 06:00:00,7.699999809
365,2022-01-01 13:00:00,9.800000191
366,2022-01-01 06:00:00,9.699999809
367,2021-12-31 13:00:00,9.800000191
368,2021-12-31 06:00:00,9.399999619
369,2021-12-30 13:00:00,10.10000038
370,2021-12-30 06:00:00,9.899999619
371,2021-12-29 13:00:00,10.19999981
372,2021-12-29 06:00:00,9.899999619
373,2021-12-28 13:00:00,12.39999962
374,2021-12-28 06:00:00,11.60000038
375,2021-12-27 13:00:00,11.5
376,2021-12-27 06:00:00,11.30000019
377,2021-12-26 13:00:00,13.10000038
378,2021-12-26 06:00:00,10.69999981
379,2021-12-25 13:00:00,11.10000038
380,2021-12-25 06:00:00,12.5
381,2021-12-24 13:00:00,12.89999962
382,2021-12-24 06:00:00,12.69999981
383,2021-12-23 13:00:00,11.80000019
384,2021-12-23 06:00:00,11.10000038
385,2021-12-22 13:00:00,11.39999962
386,2021-12-22 06:00:00,10.5
