Date,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.REFLUX.BPD,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F
12/28/2018 23:45,14324.29492,97.44644165,134.8297119,133.2427979,18.57481194,100.1312332,5834.439941,6248.574219,76.14746094,162.7288818,175.3417969,5.204772949,102.6580887,75.70800781,316.7907715,223.8830719
12/28/2018 23:37,12949.7373,96.79412842,134.8083496,132.925415,19.48910904,99.53460693,5838.359863,6177.181641,76.45111084,162.9425049,174.9694977,5.142974854,101.9714355,74.11804199,318.0297852,226.641861
12/28/2018 23:35,12813.29395,96.82388306,134.4268799,132.8646851,19.15778542,99.58343506,5828.251465,6272.451172,76.34646606,162.8997803,175.2807617,5.20249176,102.0005264,73.86322021,318.371582,226.6235352
12/28/2018 23:27,13125.09082,97.20611572,134.9609375,133.1176758,17.6192894,99.93286133,5829.592285,6257.127441,76.52130127,163.5101318,175.8056641,5.202417374,102.3696899,74.00970459,318.4326172,224.4201813
12/28/2018 23:25,13381.6377,97.28851318,135.0219727,133.4381104,17.29992485,100.0610352,5874.15332,6254.98877,76.49993896,163.4674072,176.159668,5.207061768,102.5230408,73.88305664,317.7856445,223.840332
12/28/2018 23:17,14724.28418,97.88131714,135.5529785,133.7243195,16.90321159,100.5523758,5859.196777,6188.112305,76.43737793,163.4674072,176.4526367,5.26428318,103.1455994,76.33666229,315.6555176,220.6848145
12/28/2018 23:14,14556.71777,97.73712158,135.2783203,133.3953857,17.69397163,100.3845215,5840.732422,6204.384277,76.43737793,163.4277344,176.1199951,5.241386414,102.9785156,76.00708008,315.5761719,220.6848297
12/28/2018 23:06,14263.33594,97.31369019,134.8754883,133.291626,19.0195961,100.057991,5851.459961,6367.007324,76.33056641,163.1134033,175.4119873,5.234527588,102.5276184,75.02746582,317.1569824,223.7610016
12/28/2018 23:03,13529.75488,97.0001297,134.8571777,132.9528809,19.69749069,99.74822998,5881.27002,6315.21582,76.59301758,163.0493164,175.3692627,5.239112854,102.1980286,74.71008301,317.4987793,224.3774414
12/28/2018 22:55,13477.875,96.91591644,134.8144531,132.9742432,18.74790573,99.77112579,5809.478027,6233.013184,76.85394287,163.3239746,175.3509521,5.168561459,102.0899582,74.04785156,318.4936523,224.4384766
