Date,Index,TA.OVH.RECYCLE.NC4.VOLPCT,RX.TB.RECYCLE.CHARGE.BPD,RX.TB.RECYCLE.CHARGE.PCT,RX.NORTH.TC.CHARGE.BPD,RX.NORTH.TC.CHARGE.CV.PCT,RX.NORTH.FLUSH.PSIG,RX.NORTH.OUT.F,RX.SOUTH.TA.RECYCLE.CHARGE.BPD,RX.SOUTH.TA.RECYCLE.CHARGE.PCT,RX.SOUTH.TC.CHARGE.BPD,RX.SOUTH.TC.CHARGE.CV.PCT,RX.SOUTH.FLUSH.PSIG,RX.SOUTH.OUT.F,RX.SOUTH.WATERRETURN.F,RX.SOUTH.WATERRETURN.PH,RX.OUT.DELTA.F,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F,TB.CHARGE.BPD,TB.CHARGE.PREHEAT.COND.LBHR,TB.CHARGE.F,TB.OVHD.F,TB.OVHD.PSIG,TB.OVHD.REVEIVER.PSIG,TB.OVHD.REVEIVER.F,TB.OVHD.REVEIVER.LVL.PCT,TB.BTM.PSIG,TB.BTM.LVL.PCT,TB.DP.PSIG,TB.BTM.F,TB.REBOIL.OUT.F,TC.TRAY7.F,TC.TRAY40.F,TC.CHARGE.F,TC.OVHD.PSIG,TC.OVHD.RECVR.F,TC.TRAY24.F,TC.DP.PSIG,TC.BTM.PSIG,TC.REBOIL.OUT.F,TC.REBOIL.COND.LBHR
7/8/22 13:00,14,10.60000038,2365.652344,18,2655.507324,18.6359005,141.726944,100.7907181,6500.510742,51.9236908,2781.118408,19.0567627,140.5514984,103.7851028,86.5258255,6.512223721,-3.058992386,11577.71387,100.3829193,135.5659027,133.6916046,3.435381651,99.90000153,6500.510742,105.3774109,164.3655396,180.2420044,0.54649353,99.82758331,77.45565033,316.8998108,190.7385406,13417.95508,3773.297119,153.5284424,173.1126099,183.8861084,186.9810486,104.3328934,79.01901245,188.8832092,82.13050842,4.915786743,217.9359131,220.6628876,188.4541931,200.5986328,183.9496918,226.7738342,167.0275879,172.9511871,3.350154877,230.1681519,202.4943237,7501.758301
7/8/22 6:00,15,14.19999981,2401.428223,18,2210.950439,14.00427246,146.3623047,95.11566162,6474.868652,51.83685684,2187.96167,2.770992517,144.5579529,98.60229492,83.3282547,6.517710686,-3.548676968,9618.789063,99.90005493,135.043335,133.2580566,9.20441246,100.0366211,6474.868652,95.78094482,163.5803223,179.7698975,0.542449951,99.35760498,74.37286377,317.956543,191.7358398,11518.81152,3506.940918,153.4179688,184.1735992,185.7147217,188.3926392,93.03894806,84.96704102,186.5844727,79.75455475,0.85144043,220.4502106,223.6101074,187.339447,199.8558044,179.3640289,224.84935,164.3585205,166.4791107,3.312362671,228.1150818,201.8920898,7813.290039
7/7/22 13:00,16,8.199999809,2367.050049,18,2409.260742,15.81153393,145.1911926,98.73504639,6513.475586,52.03050613,2549.913086,16.12324524,145.4582214,101.5441895,85.35308838,6.512213707,-2.665286779,10451.72168,99.39881134,134.8205566,133.1756592,0.376023203,100.567627,6513.475586,103.964241,163.369751,179.397583,0.512695313,98.90442657,80.96618652,316.2658691,192.1844482,11347.21973,3160.446045,153.2073975,172.8332672,183.5357666,183.5174561,101.7944336,18.68209839,188.2369995,85.32228088,4.72869873,216.6730347,219.1242218,188.2067719,200.466156,183.8745117,224.6583557,169.3084717,171.3833618,3.329925537,227.8747711,202.1850586,7549.828125
7/7/22 6:00,17,16.89999962,2414.503418,18,2334.507568,15.24098015,147.0975189,95.28691864,6508.936035,51.69192886,2456.009766,15.39962006,144.2409515,98.28565979,83.13258362,6.527048111,-3.055792809,10569.94727,100.4115677,135.4828339,133.6120605,8.041970253,100.5008469,6508.936035,98.64126587,161.6695709,175.8403015,0.429992676,99.99290466,78.06510925,310.9950867,188.0334015,12263.24609,3755.120361,153.1219482,175.0544281,182.6848602,185.6880951,89.58127594,85.74910736,187.321701,85.27687073,4.842681885,216.21138,218.462738,187.6294708,199.3612976,180.0071869,224.5133209,168.140686,166.6785278,3.359118938,227.9980469,201.3174591,7915.290527
7/6/22 13:00,18,12.30000019,2388.161377,18,2824.400635,20.37689018,143.2081299,100.539299,6525.554199,52.16001511,2915.998779,21.8686676,142.9266052,103.500267,87.16855621,6.520174503,-2.95524168,10466.00488,99.55101013,135.0110321,133.203476,7.520253181,99.83406067,6525.554199,107.0682297,162.5358582,179.5691986,0.650062561,98.95050049,75.01703644,313.1567383,192.0889435,11889.32813,3245.328857,153.3414154,174.0334625,182.7362823,182.6744843,99.264534,60.15164566,187.7062988,85.19243622,4.934387207,217.5886993,220.0328217,189.6640778,200.5174561,181.8804932,226.7174072,172.3666382,171.4848633,3.269704342,229.913269,202.613327,7633.162598
7/6/22 6:00,19,11.80000019,2404.220703,18,2226.517578,13.97601223,139.9665833,96.07172394,6501.810059,51.76868439,2184.540039,8.506357193,139.7467346,99.52097321,84.6055069,6.526091576,-3.245554447,10736.41211,100.1584625,135.5072021,133.6784821,5.345444202,100.0009155,6501.810059,101.6275024,161.541748,176.4369659,0.498847961,99.6446228,75.00173187,307.400116,189.101059,11841.8623,3604.062256,152.996109,176.3031006,182.8700409,182.931366,87.64109039,43.29594803,187.6637268,85.1760788,4.789581299,218.7218628,220.907608,188.5964508,200.0846863,179.1230469,224.6163177,169.2597504,167.2099152,3.289938927,227.7975769,202.064209,7694.818848
7/5/22 13:00,20,16,2396.502686,18,2255.220703,14.13940239,147.4501343,99.78373718,6486.11377,52.01480484,2307.305908,3.569024563,143.1668549,103.2314072,87.95837402,6.534704208,-3.469110012,10684.21191,99.55078888,135.0770111,133.173111,2.502201319,100.5944824,6486.11377,108.5302734,165.002243,178.5797119,0.507278442,99.04258728,78.58052826,318.5538635,189.359436,11514.52832,3093.171143,155.640976,173.0304108,182.6142883,185.2967834,104.5514908,87.32452393,187.3718414,85.6318512,4.757537842,216.7989349,219.3148499,189.4644775,200.4862366,181.2620087,226.7718201,172.9371185,172.0622101,3.335970163,230.1764221,202.5579987,7778.304199
7/5/22 6:00,21,14,2407.92627,18,2855.968018,20.70112991,141.1857605,98.29124451,6565.196289,52.00173187,2897.493164,21.60883141,138.5971069,101.3078384,84.84931946,6.508298397,-3.12388587,9498.635742,99.49962616,135.6773376,133.5404968,5.74835825,99.7946167,6565.196289,101.3081436,164.3220673,177.7498016,0.454673767,99.01096344,80.00137329,310.9362793,188.66745,13481.77344,3644.11499,152.1595764,174.4914246,182.7731323,185.3231049,86.57516479,47.07000732,188.085022,83.18209839,5.195159912,219.5402527,221.7725677,188.8391113,200.0635071,180.1597595,224.816452,170.5314636,167.5287476,3.335376024,228.1505585,201.9326935,7991.036621
7/4/22 6:00,23,12.69999981,2403.582764,18,2430.99707,15.31922054,138.8956757,98.90258789,6551.986816,51.95730972,2419.807373,13.81649208,136.4270477,101.7681961,85.01455688,6.558731556,-2.966770411,10517.64258,100.4484558,136.463623,134.4376678,0.99701041,100.648407,6551.986816,100.4683533,167.4119263,179.0968933,0.317687988,100.1393127,81.61122894,314.3998108,189.231781,12402.78516,3788.436523,151.2662811,172.308548,183.0856476,183.2452393,86.77399445,66.55558014,188.5345459,85.16694641,5.458679199,220.0991974,222.3345642,188.7624054,200.1711578,181.5769501,224.7279358,171.2982178,166.8449249,3.422843456,228.178421,201.7728729,8053.077148
7/1/22 6:00,29,10.5,2419.342041,18,2576.531494,16.81122208,145.9920197,95.80515289,6541.192871,51.98382187,2538.546387,16.20747757,143.8977509,98.28674316,81.76187897,6.507770061,-2.422665119,10772.58008,99.54391479,134.5178223,132.8546143,10.37296009,99.14601898,6541.192871,96.25814056,164.1021729,178.1768799,0.28183645,99.23049927,81.78914642,315.8911133,190.861618,11306.97754,3687.839844,153.8922119,176.6351318,184.2993317,184.4232178,87.79297638,76.77103424,188.0935669,85.44035339,3.845214844,216.2151947,218.3303833,190.8700714,202.1039276,184.0092163,230.5607605,173.9276123,169.0794983,3.422077417,233.9505463,203.8191681,7943.529785
